gene_id,gene_name
ENSG00000000003.15,TSPAN6
ENSG00000000005.6,TNMD
ENSG00000000419.13,DPM1
ENSG00000000457.14,SCYL3
ENSG00000000460.17,C1orf112
ENSG00000000938.13,FGR
ENSG00000000971.16,CFH
ENSG00000001036.14,FUCA2
ENSG00000001084.13,GCLC
ENSG00000001167.14,NFYA
ENSG00000001460.18,STPG1
ENSG00000001461.17,NIPAL3
ENSG00000001497.18,LAS1L
ENSG00000001561.7,ENPP4
ENSG00000001617.12,SEMA3F
ENSG00000001626.16,CFTR
ENSG00000001629.10,ANKIB1
ENSG00000001630.17,CYP51A1
ENSG00000001631.16,KRIT1
ENSG00000002016.18,RAD52
ENSG00000002079.14,MYH16
ENSG00000002330.14,BAD
ENSG00000002549.12,LAP3
ENSG00000002586.20,CD99
ENSG00000002587.10,HS3ST1
ENSG00000002726.21,AOC1
ENSG00000002745.13,WNT16
ENSG00000002746.15,HECW1
ENSG00000002822.15,MAD1L1
ENSG00000002834.18,LASP1
ENSG00000002919.15,SNX11
ENSG00000002933.9,TMEM176A
ENSG00000003056.8,M6PR
ENSG00000003096.14,KLHL13
ENSG00000003137.8,CYP26B1
ENSG00000003147.19,ICA1
ENSG00000003249.15,DBNDD1
ENSG00000003393.15,ALS2
ENSG00000003400.15,CASP10
ENSG00000003402.20,CFLAR
ENSG00000003436.16,TFPI
ENSG00000003509.16,NDUFAF7
ENSG00000003756.17,RBM5
ENSG00000003987.14,MTMR7
ENSG00000003989.18,SLC7A2
ENSG00000004059.11,ARF5
ENSG00000004139.14,SARM1
ENSG00000004142.12,POLDIP2
ENSG00000004399.13,PLXND1
ENSG00000004455.17,AK2
ENSG00000004468.13,CD38
ENSG00000004478.8,FKBP4
ENSG00000004487.17,KDM1A
ENSG00000004534.15,RBM6
ENSG00000004660.15,CAMKK1
ENSG00000004700.16,RECQL
ENSG00000004766.17,VPS50
ENSG00000004776.13,HSPB6
ENSG00000004777.18,ARHGAP33
ENSG00000004779.10,NDUFAB1
ENSG00000004799.8,PDK4
ENSG00000004809.14,SLC22A16
ENSG00000004838.14,ZMYND10
ENSG00000004846.16,ABCB5
ENSG00000004848.8,ARX
ENSG00000004864.14,SLC25A13
ENSG00000004866.22,ST7
ENSG00000004897.12,CDC27
ENSG00000004939.15,SLC4A1
ENSG00000004948.16,CALCR
ENSG00000004961.15,HCCS
ENSG00000004975.12,DVL2
ENSG00000005001.10,PRSS22
ENSG00000005007.13,UPF1
ENSG00000005020.13,SKAP2
ENSG00000005022.6,SLC25A5
ENSG00000005059.16,MCUB
ENSG00000005073.6,HOXA11
ENSG00000005075.15,POLR2J
ENSG00000005100.13,DHX33
ENSG00000005102.14,MEOX1
ENSG00000005108.16,THSD7A
ENSG00000005156.12,LIG3
ENSG00000005175.10,RPAP3
ENSG00000005187.12,ACSM3
ENSG00000005189.20,REXO5
ENSG00000005194.15,CIAPIN1
ENSG00000005206.17,SPPL2B
ENSG00000005238.20,FAM214B
ENSG00000005243.10,COPZ2
ENSG00000005249.13,PRKAR2B
ENSG00000005302.19,MSL3
ENSG00000005339.15,CREBBP
ENSG00000005379.17,TSPOAP1
ENSG00000005381.8,MPO
ENSG00000005421.9,PON1
ENSG00000005436.14,GCFC2
ENSG00000005448.17,WDR54
ENSG00000005469.12,CROT
ENSG00000005471.19,ABCB4
ENSG00000005483.21,KMT2E
ENSG00000005486.17,RHBDD2
ENSG00000005513.10,SOX8
ENSG00000005700.15,IBTK
ENSG00000005801.18,ZNF195
ENSG00000005810.18,MYCBP2
ENSG00000005812.11,FBXL3
ENSG00000005844.19,ITGAL
ENSG00000005882.12,PDK2
ENSG00000005884.18,ITGA3
ENSG00000005889.16,ZFX
ENSG00000005893.16,LAMP2
ENSG00000005961.19,ITGA2B
ENSG00000005981.13,ASB4
ENSG00000006007.12,GDE1
ENSG00000006015.18,REX1BD
ENSG00000006016.11,CRLF1
ENSG00000006025.12,OSBPL7
ENSG00000006042.12,TMEM98
ENSG00000006047.13,YBX2
ENSG00000006062.17,MAP3K14
ENSG00000006071.15,ABCC8
ENSG00000006116.4,CACNG3
ENSG00000006118.15,TMEM132A
ENSG00000006125.18,AP2B1
ENSG00000006128.12,TAC1
ENSG00000006194.10,ZNF263
