,total_raw_counts,total_norm_counts,size_factor,n_genes_detected,pct_zeros,median_raw_count,outlier_flag
TCGA-AA-3000,202263,192958.37863063117,1.048220872477272,448,0.4444444444444444,127.0,0
TCGA-AA-3001,186764,181530.3822822803,1.0288305332249088,448,0.4444444444444444,117.0,0
TCGA-AA-3002,191281,172563.85024681536,1.1084650680105583,446,0.8888888888888888,128.5,0
TCGA-AA-3003,195941,187132.83294982847,1.0470690627151091,447,0.6666666666666667,120.5,0
TCGA-AA-3004,190831,184302.1928523945,1.0354244680790876,448,0.4444444444444444,126.5,0
TCGA-AA-3005,186593,175956.75096093921,1.0604480872769806,449,0.2222222222222222,117.5,0
TCGA-AA-3006,171539,168373.456095471,1.0188007301028144,448,0.4444444444444444,116.5,0
TCGA-AA-3007,178356,171665.4761565515,1.0389741955880927,447,0.6666666666666667,127.0,0
TCGA-AA-3008,188716,172793.80847015986,1.0921456137277614,449,0.2222222222222222,119.0,0
TCGA-AA-3009,190990,177892.78153131183,1.0736242266602753,449,0.2222222222222222,120.5,0
TCGA-AA-3010,185501,167178.01178172202,1.1096016636577877,449,0.2222222222222222,120.5,0
TCGA-AA-3011,190976,187420.9081055292,1.0189684914581092,447,0.6666666666666667,120.0,0
TCGA-AA-3012,195001,184488.96009479457,1.056979235504412,446,0.8888888888888888,123.0,0
TCGA-AA-3013,171700,169326.27623292993,1.0140186379803493,448,0.4444444444444444,116.0,0
TCGA-AA-3014,187862,184163.3929681838,1.0200832911047375,448,0.4444444444444444,115.0,0
TCGA-AA-3015,211281,199182.426066401,1.0607411716612274,447,0.6666666666666667,126.0,0
TCGA-AA-3016,170796,173008.849715767,0.9872096154653219,448,0.4444444444444444,116.0,1
TCGA-AA-3017,169663,157923.00504067008,1.0743399921772419,448,0.4444444444444444,123.5,0
TCGA-AA-3018,189778,178799.60137666084,1.0614005766165662,446,0.8888888888888888,126.5,0
TCGA-AA-3019,194706,186386.23165536288,1.0446372474551702,447,0.6666666666666667,116.0,0
TCGA-AA-3020,185529,175074.48042159036,1.0597146971576583,447,0.6666666666666667,124.0,0
TCGA-AA-3021,169086,160175.856414049,1.055627257349688,447,0.6666666666666667,127.0,0
TCGA-AA-3022,173756,170079.89249418798,1.0216140041712316,448,0.4444444444444444,117.0,0
TCGA-AA-3023,181972,166045.14189597603,1.095918844250209,447,0.6666666666666667,120.0,0
TCGA-AA-3024,168702,161274.0039666716,1.0460582353673284,446,0.8888888888888888,123.0,0
TCGA-AA-3025,190217,190795.49353327387,0.9969679916304053,449,0.2222222222222222,114.5,0
TCGA-AA-3026,187018,178079.77242268922,1.050192267519834,447,0.6666666666666667,118.5,0
TCGA-AA-3027,179306,174066.30846374232,1.0301016984992768,446,0.8888888888888888,117.5,0
