T_ext,E_epi,M_epi,R_epi,H_epi,E_mes,M_mes,R_mes,H_mes,epi_stable,mes_stable,region
0.0,6.66665,0.2,8.3299,0.25125,6.66665,0.2,8.3299,0.25125,True,False,monostable_epi
0.038,6.66665,0.2,8.32988,0.25444,6.66665,0.2,8.32988,0.25444,True,False,monostable_epi
0.0759,6.66664,0.2,8.32984,0.2616,6.66664,0.2,8.32984,0.2616,True,False,monostable_epi
0.1139,6.66661,0.20001,8.32973,0.27513,6.66661,0.20001,8.32973,0.27513,True,False,monostable_epi
0.1519,6.66651,0.20002,8.32935,0.29798,0.15762,1.65864,0.19409,0.29798,True,True,bistable
0.1899,6.66616,0.20007,8.32801,0.33389,0.06321,1.77273,0.18707,0.33389,True,True,bistable
0.2278,6.66473,0.20027,8.32259,0.38874,0.02172,1.86244,0.18321,0.38874,True,True,bistable
0.2658,6.65715,0.20132,8.29438,0.47874,0.00514,1.93283,0.18078,0.47874,True,True,bistable
0.3038,2.38654,0.92963,2.12831,1.3854,0.0,1.99913,0.17861,1.3854,True,True,bistable
0.3418,0.0,1.99926,0.17861,1.45148,0.0,1.99926,0.17861,1.45148,False,True,monostable_mes
0.3797,0.0,1.99934,0.1786,1.50007,0.0,1.99934,0.1786,1.50007,False,True,monostable_mes
0.4177,0.0,1.99939,0.1786,1.53793,0.0,1.99939,0.1786,1.53793,False,True,monostable_mes
0.4557,0.0,1.99943,0.1786,1.56833,0.0,1.99943,0.1786,1.56833,False,True,monostable_mes
0.4937,0.0,1.99946,0.1786,1.59321,0.0,1.99946,0.1786,1.59321,False,True,monostable_mes
0.5316,0.0,1.99949,0.1786,1.61384,0.0,1.99949,0.1786,1.61384,False,True,monostable_mes
0.5696,0.0,1.9995,0.1786,1.63112,0.0,1.9995,0.1786,1.63112,False,True,monostable_mes
0.6076,0.0,1.99952,0.17859,1.64571,0.0,1.99952,0.17859,1.64571,False,True,monostable_mes
0.6456,0.0,1.99953,0.17859,1.65812,0.0,1.99953,0.17859,1.65812,False,True,monostable_mes
0.6835,0.0,1.99954,0.17859,1.66873,0.0,1.99954,0.17859,1.66873,False,True,monostable_mes
0.7215,0.0,1.99955,0.17859,1.67785,0.0,1.99955,0.17859,1.67785,False,True,monostable_mes
0.7595,0.0,1.99956,0.17859,1.68573,0.0,1.99956,0.17859,1.68573,False,True,monostable_mes
0.7975,0.0,1.99956,0.17859,1.69256,0.0,1.99956,0.17859,1.69256,False,True,monostable_mes
0.8354,0.0,1.99957,0.17859,1.69851,0.0,1.99957,0.17859,1.69851,False,True,monostable_mes
0.8734,0.0,1.99957,0.17859,1.70371,0.0,1.99957,0.17859,1.70371,False,True,monostable_mes
0.9114,0.0,1.99958,0.17859,1.70827,0.0,1.99958,0.17859,1.70827,False,True,monostable_mes
0.9494,0.0,1.99958,0.17859,1.71229,0.0,1.99958,0.17859,1.71229,False,True,monostable_mes
0.9873,0.0,1.99958,0.17859,1.71584,0.0,1.99958,0.17859,1.71584,False,True,monostable_mes
1.0253,0.0,1.99958,0.17859,1.71898,0.0,1.99958,0.17859,1.71898,False,True,monostable_mes
1.0633,0.0,1.99959,0.17859,1.72177,0.0,1.99959,0.17859,1.72177,False,True,monostable_mes
1.1013,0.0,1.99959,0.17859,1.72425,0.0,1.99959,0.17859,1.72425,False,True,monostable_mes
1.1392,0.0,1.99959,0.17859,1.72647,0.0,1.99959,0.17859,1.72647,False,True,monostable_mes
1.1772,0.0,1.99959,0.17859,1.72845,0.0,1.99959,0.17859,1.72845,False,True,monostable_mes
1.2152,0.0,1.99959,0.17859,1.73023,0.0,1.99959,0.17859,1.73023,False,True,monostable_mes
1.2532,0.0,1.99959,0.17859,1.73183,0.0,1.99959,0.17859,1.73183,False,True,monostable_mes
1.2911,0.0,1.9996,0.17859,1.73328,0.0,1.9996,0.17859,1.73328,False,True,monostable_mes
1.3291,0.0,1.9996,0.17859,1.73458,0.0,1.9996,0.17859,1.73458,False,True,monostable_mes
1.3671,0.0,1.9996,0.17859,1.73576,0.0,1.9996,0.17859,1.73576,False,True,monostable_mes
1.4051,0.0,1.9996,0.17859,1.73682,0.0,1.9996,0.17859,1.73682,False,True,monostable_mes
1.443,0.0,1.9996,0.17859,1.73779,0.0,1.9996,0.17859,1.73779,False,True,monostable_mes
1.481,0.0,1.9996,0.17859,1.73868,0.0,1.9996,0.17859,1.73868,False,True,monostable_mes
1.519,0.0,1.9996,0.17859,1.73948,0.0,1.9996,0.17859,1.73948,False,True,monostable_mes
1.557,0.0,1.9996,0.17859,1.74022,0.0,1.9996,0.17859,1.74022,False,True,monostable_mes
