,pearson_r
stage_order,0.6833629033460437
ajcc_n_encoded,0.39522436978255915
vital_status_encoded,0.2668666476748427
ajcc_t_encoded,0.2214851678005621
variance_skewness_ratio,0.1641572968408395
ews_skew_emt,0.07181284499049125
ews_var_epithelial,0.053289427192220094
ews_var_slope,0.0530566549044559
ews_em_ratio,0.044294057221468106
emt_index,0.03839046370461947
mesenchymal_dominance,0.038390463704619446
critical_slowing_down_index,0.026987127802962373
spatial_synchrony,0.020557211955065165
mesenchymal,0.01887992499460927
gender_encoded,0.01777382604894023
trajectory_position,0.017100662903856183
wnt_pathway,0.012531045450262077
ews_composite_v2,0.011610626196187081
ews_composite,0.009566569053082258
ews_skew_slope,0.006115425125718474
ews_anomaly,-0.012993840901408538
invasion_potential,-0.019601988594818424
ews_var_mesenchymal,-0.029835943979468624
em_ratio,-0.03168058687550185
tgfb_pathway,-0.036275379246109456
ews_ac1_slope,-0.04181928551009716
ews_kurt_emt,-0.05415269486098281
proliferation,-0.057382403336010177
ews_cv_mesenchymal,-0.061624258771635215
hypoxia,-0.07165108421153404
age_at_index,-0.0753096842587736
epithelial,-0.082561032549686
immune_suppression,-0.15927580661669746
days_to_last_fu_rna,-0.17659639202810146
immune_balance,-0.2171623009643623
cytotoxic_t,-0.2666485960563643
