epoch,tr_auroc,tr_auprc,tr_f1,tr_precision,tr_recall,tr_specificity,tr_loss,tr_loss_bce,tr_loss_physics,va_auroc,va_auprc,va_f1,va_precision,va_recall,va_specificity,va_loss
0,0.6787,0.5109,0.4955,0.3612,0.7885,0.4336,0.93851,0.92629,0.0,0.9971,0.9937,0.9286,0.8966,0.963,0.9524,0.50156
1,0.9812,0.9651,0.8475,0.7576,0.9615,0.875,0.64382,0.63353,0.0,0.9965,0.9925,0.9286,0.8966,0.963,0.9524,0.34589
2,0.9992,0.9981,0.981,0.9717,0.9904,0.9883,0.41253,0.40354,0.0,0.9965,0.9925,0.9091,0.8929,0.9259,0.9524,0.32079
3,0.9966,0.9854,0.972,0.9455,1.0,0.9766,0.29135,0.28452,0.0,0.9877,0.9616,0.9259,0.9259,0.9259,0.9683,0.31531
4,0.9988,0.9971,0.981,0.9717,0.9904,0.9883,0.23908,0.23319,0.0,0.9835,0.9269,0.9259,0.9259,0.9259,0.9683,0.31189
5,0.998,0.9936,0.9856,0.981,0.9904,0.9922,0.20644,0.20124,0.0,0.9818,0.8867,0.9259,0.9259,0.9259,0.9683,0.31053
6,0.9994,0.9984,0.9952,0.9905,1.0,0.9961,0.17095,0.16622,0.0,0.9818,0.8867,0.9259,0.9259,0.9259,0.9683,0.30946
7,0.9974,0.9909,0.981,0.9717,0.9904,0.9883,0.17509,0.17092,0.0,0.9818,0.8867,0.9259,0.9259,0.9259,0.9683,0.29148
8,0.9989,0.9975,0.9904,0.9904,0.9904,0.9961,0.15358,0.14946,0.0,0.9824,0.9053,0.9259,0.9259,0.9259,0.9683,0.28524
9,0.9927,0.9839,0.9856,0.981,0.9904,0.9922,0.15183,0.14813,0.0,0.9965,0.9925,0.9434,0.9615,0.9259,0.9841,0.27228
10,0.9968,0.9851,0.9904,0.9904,0.9904,0.9961,0.16474,0.16069,0.0,0.9965,0.9925,0.9434,0.9615,0.9259,0.9841,0.26948
11,0.9983,0.9947,0.9952,0.9905,1.0,0.9961,0.11759,0.11417,0.0,0.99,0.973,0.9434,0.9615,0.9259,0.9841,0.27141
12,0.9942,0.9837,0.9856,0.981,0.9904,0.9922,0.13782,0.13451,0.0,0.9882,0.9646,0.9434,0.9615,0.9259,0.9841,0.2771
13,0.9951,0.9855,0.9856,0.981,0.9904,0.9922,0.13411,0.13082,0.0,0.9971,0.9937,0.9434,0.9615,0.9259,0.9841,0.27092
14,0.9893,0.9671,0.9904,0.9904,0.9904,0.9961,0.13124,0.12821,0.0,0.9971,0.9937,0.9434,0.9615,0.9259,0.9841,0.26933
15,0.9924,0.9821,0.9856,0.981,0.9904,0.9922,0.12423,0.12122,0.0,0.9971,0.9937,0.9434,0.9615,0.9259,0.9841,0.27037
