feature,mean_abs_shap,mean_shap_m1,mean_shap_m0,group,description
stage_order,1.9001095940306245,6.738355960336459,-1.077755406496528,Clinical,"AJCC pathologic stage (0=I, 1=II, 2=III, 3=IV)"
ews_var_mesenchymal,0.47618415427736677,0.3962178223787879,-0.05401684184332924,Early warning signals,Mesenchymal gene variance — rising = approaching tipping point
tgfb_pathway,0.31185244520227934,0.2576384542746341,-0.04792302557260857,EMT scores,TGF-β signalling activity — EMT inducer
age_at_index,0.28691187392792605,0.13653222628083786,-0.021886046159388668,Clinical,Age At Index
days_to_last_fu_rna,0.21017041188988425,0.13063867882159846,-0.02228093608594178,Other,Days To Last Fu Rna
cytotoxic_t,0.19352789893871628,0.2480661824526053,-0.0329184190582972,EMT scores,"Anti-tumour immune surveillance (CD8+, Granzyme B)"
immune_suppression,0.176892681143605,0.1445245107745964,-0.033730066811186316,EMT scores,"Immunosuppressive TME (FOXP3, PD-L1, M2 macrophage)"
ews_var_epithelial,0.16750949979503535,0.332363729034679,-0.062036115134979454,Early warning signals,Ews Var Epithelial
immune_balance,0.1514016493919128,0.25885190311505957,-0.04550471890845961,EMT scores,Immune Balance
wnt_pathway,0.12099875745567334,0.12668739999620626,-0.03270060914432531,EMT scores,Wnt Pathway
ews_cv_mesenchymal,0.10522272057511778,0.1811077614762935,-0.04077968858786934,Early warning signals,Ews Cv Mesenchymal
mesenchymal,0.0949176762630004,0.06433556211138035,0.012276856994634445,EMT scores,"Mesenchymal gene programme activation (VIM, ZEB1, SNAI1)"
ajcc_t_encoded,0.09092739308256974,0.2195290670644523,-0.017641521732032376,Clinical,Ajcc T Encoded
proliferation,0.06649073553299743,0.064999401308622,-0.004138517814196402,EMT scores,Proliferation
ews_skew_emt,0.06422154529674141,0.06155503519888105,-0.010567611370849897,Early warning signals,Ews Skew Emt
vital_status_encoded,0.06330544485408922,0.09570677972946287,-0.009372029458544312,Clinical,Vital Status Encoded
epi_dist,0.05032980634045294,0.026807340297996432,0.0009151144951844124,ODE physics,Epi Dist
ews_composite,0.04182624731581234,0.09752001357724786,0.0037304868516259207,Early warning signals,Composite critical slowing down signal
ews_em_ratio,0.03962378563741644,0.023587188104791813,-0.008885705097504627,Early warning signals,M/E gene ratio — tipping point early warning signal
ews_kurt_emt,0.03156745235543477,0.10639608805675137,-0.011647870600430547,Early warning signals,Ews Kurt Emt
mes_dist,0.028505950081483232,0.01722245855724253,-0.004435416872358548,ODE physics,Mes Dist
epithelial,0.027416972234373827,0.03644968783922711,0.011738634177033509,EMT scores,"Epithelial gene programme strength (CDH1, EPCAM)"
emt_index,0.022852677605914945,0.013370051738033044,0.0014358600129425424,EMT scores,"EMT progression score (−1=epithelial, +1=mesenchymal)"
invasion_potential,0.019606633926384325,0.0338699469209087,0.004662381790187045,EMT scores,Combined invasion capacity (EMT + hypoxia + TGF-β)
fitted_T_ext,0.016594935812849113,0.04152925709778187,0.005935541500636437,ODE physics,Fitted T Ext
bifurcation_score,0.016195002213210852,0.02754517624398361,0.003562787057759286,ODE physics,Position on TGF-β bifurcation diagram
ajcc_n_encoded,0.01438559299882148,0.029883923766913636,-0.0037532288677788322,Clinical,Ajcc N Encoded
attractor_proximity,0.009078558596601307,0.01195544029694528,0.0015103561848137479,ODE physics,Distance to mesenchymal attractor in state space
physics_score,0.008272162017209086,0.01812708918127714,0.0024347024365406612,ODE physics,"ODE bifurcation proximity (0=epithelial, 1=mesenchymal)"
gender_encoded,0.0037395634101098124,0.0027240653146357397,0.0005169046884655477,Clinical,Gender Encoded
hypoxia,0.0026285196693632547,0.004352312058568429,-0.0008072549385940576,EMT scores,Hypoxia
n_attractors,0.0,0.0,0.0,ODE physics,N Attractors
in_tipping_zone,0.0,0.0,0.0,ODE physics,In Tipping Zone
is_bistable,0.0,0.0,0.0,ODE physics,Is Bistable
current_state_encoded,0.0,0.0,0.0,ODE physics,Current State Encoded
